timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
61,west,3,fixed_timer,6e-06,accident,fixed_timer
62,west,3,fixed_timer,6e-06,accident,fixed_timer
63,west,3,fixed_timer,6e-06,accident,fixed_timer
64,north,3,fixed_timer,6e-06,accident,fixed_timer
65,north,3,fixed_timer,6e-06,accident,fixed_timer
66,north,3,fixed_timer,6e-06,accident,fixed_timer
67,north,3,fixed_timer,6e-06,accident,fixed_timer
68,north,3,fixed_timer,6e-06,accident,fixed_timer
69,north,3,fixed_timer,6e-06,accident,fixed_timer
70,north,3,fixed_timer,6e-06,accident,fixed_timer
71,north,3,fixed_timer,6e-06,accident,fixed_timer
72,east,3,fixed_timer,6e-06,accident,fixed_timer
73,east,3,fixed_timer,6e-06,accident,fixed_timer
74,east,3,fixed_timer,6e-06,accident,fixed_timer
75,east,3,fixed_timer,6e-06,accident,fixed_timer
76,east,3,fixed_timer,6e-06,accident,fixed_timer
77,east,3,fixed_timer,6e-06,accident,fixed_timer
78,east,3,fixed_timer,6e-06,accident,fixed_timer
79,east,3,fixed_timer,6e-06,accident,fixed_timer
80,south,3,fixed_timer,6e-06,accident,fixed_timer
81,south,3,fixed_timer,6e-06,accident,fixed_timer
82,south,3,fixed_timer,6e-06,accident,fixed_timer
83,south,3,fixed_timer,6e-06,accident,fixed_timer
84,south,3,fixed_timer,6e-06,accident,fixed_timer
85,south,3,fixed_timer,6e-06,accident,fixed_timer
86,south,3,fixed_timer,6e-06,accident,fixed_timer
87,south,3,fixed_timer,6e-06,accident,fixed_timer
88,west,3,fixed_timer,6e-06,accident,fixed_timer
89,west,3,fixed_timer,6e-06,accident,fixed_timer
90,west,3,fixed_timer,6e-06,accident,fixed_timer
91,west,3,fixed_timer,6e-06,accident,fixed_timer
92,west,3,fixed_timer,6e-06,accident,fixed_timer
93,west,3,fixed_timer,6e-06,accident,fixed_timer
94,west,3,fixed_timer,6e-06,accident,fixed_timer
95,west,3,fixed_timer,6e-06,accident,fixed_timer
96,north,3,fixed_timer,6e-06,accident,fixed_timer
97,north,3,fixed_timer,6e-06,accident,fixed_timer
98,north,3,fixed_timer,6e-06,accident,fixed_timer
99,north,3,fixed_timer,6e-06,accident,fixed_timer
100,north,3,fixed_timer,6e-06,accident,fixed_timer
101,north,3,fixed_timer,6e-06,accident,fixed_timer
102,north,3,fixed_timer,1.5e-05,accident,fixed_timer
103,north,3,fixed_timer,7e-06,accident,fixed_timer
104,east,3,fixed_timer,6e-06,accident,fixed_timer
105,east,3,fixed_timer,6e-06,accident,fixed_timer
106,east,3,fixed_timer,6e-06,accident,fixed_timer
107,east,3,fixed_timer,6e-06,accident,fixed_timer
108,east,3,fixed_timer,6e-06,accident,fixed_timer
109,east,3,fixed_timer,6e-06,accident,fixed_timer
110,east,3,fixed_timer,6e-06,accident,fixed_timer
111,east,3,fixed_timer,6e-06,accident,fixed_timer
112,south,3,fixed_timer,6e-06,accident,fixed_timer
113,south,3,fixed_timer,6e-06,accident,fixed_timer
114,south,3,fixed_timer,6e-06,accident,fixed_timer
115,south,3,fixed_timer,6e-06,accident,fixed_timer
116,south,3,fixed_timer,6e-06,accident,fixed_timer
117,south,3,fixed_timer,6e-06,accident,fixed_timer
118,south,3,fixed_timer,6e-06,accident,fixed_timer
119,south,3,fixed_timer,6e-06,accident,fixed_timer
