timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
93,south,3,dqn_policy,7e-06,normal,ai_controller
94,east,3,dqn_queue_pressure,7e-06,normal,ai_controller
95,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
96,south,3,dqn_policy,6e-06,normal,ai_controller
97,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
98,east,3,dqn_queue_pressure,7e-06,normal,ai_controller
99,east,3,dqn_queue_pressure,7e-06,normal,ai_controller
100,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
101,south,3,dqn_policy,7e-06,normal,ai_controller
102,east,3,dqn_queue_pressure,7e-06,normal,ai_controller
103,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
104,west,3,dqn_queue_pressure,7e-06,normal,ai_controller
105,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
106,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
107,east,3,dqn_queue_pressure,6e-06,normal,ai_controller
108,south,3,dqn_policy,6e-06,normal,ai_controller
109,east,3,dqn_queue_pressure,6e-06,normal,ai_controller
110,west,3,dqn_queue_pressure,7e-06,normal,ai_controller
111,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
112,east,3,dqn_queue_pressure,7e-06,normal,ai_controller
113,west,3,dqn_queue_pressure,7e-06,normal,ai_controller
114,south,3,dqn_policy,7e-06,normal,ai_controller
115,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
116,south,3,dqn_policy,7e-06,normal,ai_controller
117,north,3,dqn_queue_pressure,6e-06,normal,ai_controller
118,west,3,dqn_queue_pressure,7e-06,normal,ai_controller
119,east,3,dqn_queue_pressure,6e-06,normal,ai_controller
0,north,3,dqn_policy,1.5e-05,peak,ai_controller
1,south,3,dqn_policy,9e-06,peak,ai_controller
2,north,3,dqn_queue_pressure,8e-06,peak,ai_controller
3,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
4,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
5,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
6,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
7,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
8,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
9,south,3,dqn_policy,7e-06,peak,ai_controller
10,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
11,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
12,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
13,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
14,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
15,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
16,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
17,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
18,south,3,dqn_policy,6e-06,peak,ai_controller
19,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
20,south,3,dqn_policy,6e-06,peak,ai_controller
21,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
22,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
23,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
24,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
25,south,3,dqn_policy,6e-06,peak,ai_controller
26,north,3,dqn_queue_pressure,8e-06,peak,ai_controller
27,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
28,south,3,dqn_policy,7e-06,peak,ai_controller
29,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
30,south,3,dqn_policy,7e-06,peak,ai_controller
31,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
32,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
33,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
34,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
35,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
36,south,3,dqn_policy,6e-06,peak,ai_controller
37,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
38,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
39,south,3,dqn_policy,6e-06,peak,ai_controller
40,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
41,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
42,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
43,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
44,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
45,south,3,dqn_policy,6e-06,peak,ai_controller
46,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
47,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
48,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
49,south,3,dqn_policy,6e-06,peak,ai_controller
50,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
51,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
52,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
53,south,3,dqn_policy,6e-06,peak,ai_controller
54,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
55,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
56,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
57,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
58,south,3,dqn_policy,6e-06,peak,ai_controller
59,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
60,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
61,south,3,dqn_policy,6e-06,peak,ai_controller
62,south,3,dqn_policy,6e-06,peak,ai_controller
63,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
64,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
65,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
66,south,3,dqn_policy,6e-06,peak,ai_controller
67,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
68,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
69,south,3,dqn_policy,8e-06,peak,ai_controller
70,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
71,south,3,dqn_policy,7e-06,peak,ai_controller
72,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
73,south,3,dqn_policy,7e-06,peak,ai_controller
74,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
75,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
76,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
77,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
78,south,3,dqn_policy,7e-06,peak,ai_controller
79,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
80,south,3,dqn_policy,7e-06,peak,ai_controller
81,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
82,south,3,dqn_policy,7e-06,peak,ai_controller
83,south,3,dqn_policy,6e-06,peak,ai_controller
84,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
85,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
86,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
87,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
88,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
89,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
90,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
91,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
92,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
93,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
94,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
95,south,3,dqn_policy,6e-06,peak,ai_controller
96,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
97,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
98,west,3,dqn_queue_pressure,7e-06,peak,ai_controller
99,south,3,dqn_policy,7e-06,peak,ai_controller
100,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
101,west,3,dqn_queue_pressure,6e-06,peak,ai_controller
102,south,3,dqn_policy,6e-06,peak,ai_controller
103,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
104,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
105,south,3,dqn_policy,6e-06,peak,ai_controller
106,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
107,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
108,south,3,dqn_policy,7e-06,peak,ai_controller
109,north,3,dqn_queue_pressure,6e-06,peak,ai_controller
110,east,3,dqn_queue_pressure,6e-06,peak,ai_controller
111,south,3,dqn_policy,6e-06,peak,ai_controller
112,west,3,dqn_queue_pressure,8e-06,peak,ai_controller
113,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
114,south,3,dqn_policy,7e-06,peak,ai_controller
115,north,3,dqn_queue_pressure,7e-06,peak,ai_controller
116,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
117,south,3,dqn_policy,6e-06,peak,ai_controller
118,south,3,dqn_policy,6e-06,peak,ai_controller
119,east,3,dqn_queue_pressure,7e-06,peak,ai_controller
0,north,3,dqn_policy,1.4e-05,emergency,ai_controller
1,east,3,dqn_queue_pressure,8e-06,emergency,ai_controller
2,south,3,dqn_policy,7e-06,emergency,ai_controller
3,west,3,dqn_queue_pressure,7e-06,emergency,ai_controller
4,north,3,dqn_policy,6e-06,emergency,ai_controller
5,south,3,dqn_policy,7e-06,emergency,ai_controller
6,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
7,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
8,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
9,south,3,dqn_policy,6e-06,emergency,ai_controller
10,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
11,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
12,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
13,south,3,dqn_policy,6e-06,emergency,ai_controller
14,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
15,west,3,dqn_queue_pressure,8e-06,emergency,ai_controller
16,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
17,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
18,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
19,south,3,dqn_policy,6e-06,emergency,ai_controller
20,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
21,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
22,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
23,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
24,south,3,dqn_policy,7e-06,emergency,ai_controller
25,east,3,emergency_priority,6e-06,emergency,ai_controller
26,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
27,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
28,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
29,south,3,dqn_policy,6e-06,emergency,ai_controller
30,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
31,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
32,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
33,south,3,dqn_policy,6e-06,emergency,ai_controller
34,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
35,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
36,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
37,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
38,south,3,dqn_policy,5e-06,emergency,ai_controller
39,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
40,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
41,east,3,dqn_queue_pressure,5e-06,emergency,ai_controller
42,south,3,dqn_policy,6e-06,emergency,ai_controller
43,east,3,dqn_queue_pressure,5e-06,emergency,ai_controller
44,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
45,south,3,dqn_policy,6e-06,emergency,ai_controller
46,west,3,dqn_queue_pressure,5e-06,emergency,ai_controller
47,south,3,dqn_policy,5e-06,emergency,ai_controller
48,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
49,south,3,dqn_policy,6e-06,emergency,ai_controller
50,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
51,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
52,south,3,dqn_policy,6e-06,emergency,ai_controller
53,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
54,south,3,dqn_policy,6e-06,emergency,ai_controller
55,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
56,south,3,dqn_policy,6e-06,emergency,ai_controller
57,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
58,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
59,south,3,dqn_policy,6e-06,emergency,ai_controller
60,south,3,dqn_policy,6e-06,emergency,ai_controller
61,north,3,dqn_queue_pressure,5e-06,emergency,ai_controller
62,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
63,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
64,south,3,dqn_policy,7e-06,emergency,ai_controller
65,east,3,dqn_queue_pressure,7e-06,emergency,ai_controller
66,south,3,dqn_policy,6e-06,emergency,ai_controller
67,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
68,south,3,dqn_policy,6e-06,emergency,ai_controller
69,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
70,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
71,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
72,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
73,south,3,dqn_policy,6e-06,emergency,ai_controller
74,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
75,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
76,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
77,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
78,south,3,dqn_policy,6e-06,emergency,ai_controller
79,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
80,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
81,south,3,dqn_policy,6e-06,emergency,ai_controller
82,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
83,south,3,dqn_policy,6e-06,emergency,ai_controller
84,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
85,west,3,dqn_queue_pressure,7e-06,emergency,ai_controller
86,south,3,dqn_policy,6e-06,emergency,ai_controller
87,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
88,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
89,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
90,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
